Date,AAPL,GOOG,MSFT,TSLA
2021-03-09,117.94112396240234,101.79923248291016,224.32583618164062,224.52667236328125
2021-03-10,116.8599853515625,101.914794921875,223.02081298828125,222.68666076660156
2021-03-11,118.78849792480469,104.87747192382812,227.5403289794922,233.1999969482422
2021-03-12,117.88268280029297,102.25647735595703,226.21620178222656,231.2433319091797
2021-03-15,120.76569366455078,102.48311614990234,225.31417846679688,235.97999572753906
2021-03-16,122.30463409423828,103.77401733398438,228.096923828125,225.6266632080078
2021-03-17,121.51568603515625,103.70260620117188,227.4540252685547,233.93666076660156
2021-03-18,117.39570617675781,100.98193359375,221.3896026611328,217.72000122070312
2021-03-19,116.86971282958984,101.3281021118164,221.03457641601562,218.2899932861328
2021-03-22,120.18131256103516,101.09947204589844,226.4464874267578,223.3333282470703
2021-03-23,119.35340881347656,101.81212615966797,227.97218322753906,220.72000122070312
2021-03-24,116.96710205078125,101.42034912109375,225.93789672851562,210.08999633789062
2021-03-25,117.4541244506836,101.38563537597656,222.94407653808594,213.4633331298828
2021-03-26,118.05801391601562,100.9487075805664,226.91665649414062,206.23666381835938
2021-03-29,118.23331451416016,101.96041107177734,225.726806640625,203.76333618164062
2021-03-30,116.78206634521484,101.94007873535156,222.473876953125,211.8733367919922
2021-03-31,118.97356414794922,102.58924865722656,226.23536682128906,222.64332580566406
2021-04-01,119.80145263671875,106.01708984375,232.54930114746094,220.5833282470703
2021-04-05,122.62606048583984,110.37134552001953,238.9975128173828,230.35000610351562
2021-04-06,122.927978515625,110.3316879272461,237.83645629882812,230.5399932861328
2021-04-07,124.57403564453125,111.56803131103516,239.79393005371094,223.6566619873047
2021-04-08,126.97004699707031,112.34962463378906,243.0084686279297,227.93333435058594
2021-04-09,129.5414276123047,113.36329650878906,245.50332641601562,225.67333984375
2021-04-12,127.82720184326172,111.82144927978516,245.5609130859375,233.9933319091797
2021-04-13,130.9342041015625,112.44036865234375,248.0365447998047,254.10667419433594
2021-04-14,128.59661865234375,111.82393646240234,245.2538299560547,244.07666015625
2021-04-15,131.0023956298828,113.89789581298828,249.00575256347656,246.28334045410156
2021-04-16,130.6712188720703,113.95245361328125,250.195556640625,246.5933380126953
2021-04-19,131.33355712890625,114.18257904052734,248.27645874023438,238.2100067138672
2021-04-20,129.6485595703125,113.74765014648438,247.8158416748047,239.663330078125
2021-04-21,130.0283966064453,113.73075866699219,250.04200744628906,248.0399932861328
